,musicianID,musicianName,genderType,birthDate,city,familyName,forename,fatherName,motherName,spouse,NChildren,kind,webpage
musician,0.99967843,0.41639233,6.828117e-05,0.00037429447,0.002550488,0.00039281577,0.00024590467,0.0019327322,0.0017189868,0.0021697457,0.00037588898,0.0046626264,0.058211163
birthDate,0.00038026454,6.1794766e-05,0.00024439595,0.9998083,5.033793e-05,0.00018812518,0.00018206966,7.492209e-05,6.267985e-05,2.5121e-05,0.00010531048,3.7261587e-05,0.00025596117
familyNameLabel,0.00028877103,0.18025531,0.00012238398,0.00014384084,0.25918472,0.996559,0.941276,0.01859114,0.029339503,0.026753346,0.0002902995,0.003924394,0.0013987698
givenNameLabel,0.0002071207,0.2637449,0.0001591979,0.00015181374,0.08257741,0.88350856,0.926494,0.046292905,0.13845776,0.065954685,0.0003118777,0.0038805986,0.00026292817
numberOfChildren,0.00036813493,0.00021711306,0.00014678169,9.404715e-05,8.101128e-05,0.00033404847,0.00036025202,0.00020245204,0.00020686438,8.621744e-05,0.9956917,0.00015998125,0.0006366668
websiteLabel,0.13276882,0.02581444,0.00017084376,0.00027798302,0.00023706138,0.0013410894,0.00027882,0.0009468577,0.0013665021,0.0004142549,0.0010566569,0.0003034149,0.99451506
residenceLabel,0.000998679,0.0053651347,0.00036377896,4.675011e-05,0.9406637,0.0052057933,0.0031167953,0.0034631754,0.026524942,0.0074112513,0.00027029813,0.016060285,0.0013830035
ethnicityLabel,0.0006271707,0.11015887,0.00033080694,0.00010800877,0.2117299,0.0036199035,0.0019077461,0.03440459,0.025500033,0.0065966416,0.0003404357,0.0073215542,0.012910135
religionLabel,0.0016163862,0.0013134683,0.00020705664,3.7882797e-05,0.0060153333,0.0006300354,0.0024690852,0.00702327,0.004057255,0.0022421172,0.000139949,0.0062679085,0.00023146739
activityStart,0.00013676635,9.050859e-05,0.0023070779,0.2655801,4.9712744e-05,0.00011251125,9.638078e-05,4.631662e-05,2.8979912e-05,3.9969025e-05,0.00063288223,3.16206e-05,9.529083e-05
twitterNameLabel,0.00017428768,0.2324853,0.00053667877,0.00024845375,0.02123587,0.1112783,0.12760136,0.21928269,0.111441776,0.06539738,0.0014940241,0.003042224,0.00051127846
geniusNameLabel,0.002839058,0.39676467,0.00093305006,0.00012767951,0.0043791477,0.09930828,0.08629231,0.10024845,0.08766541,0.0712497,0.00040804883,0.01322939,0.008959761
recordLabelLabel,0.0007464447,0.06369447,0.000103556915,3.944274e-05,0.10156096,0.012028632,0.025220629,0.050122626,0.19134241,0.034519237,0.0003952144,0.11717419,0.008521679
