<musician, musicianID>
<musicianLabel, musicianName>
<genderLabel, genderType>
<birthDate, birthDate>
<cityLabel, city>
<familyNameLabel, familyName>
<givenNameLabel, forename>
<fatherLabel, fatherName>
<motherLabel, motherName>
<partner, spouse>
<numberOfChildren, NChildren>
<genreLabel, kind>
<websiteLabel, webpage>
<residenceLabel, residence>
<ethnicityLabel, ethnicity>
<religionLabel, religionLabel>
<activityStart, kickoff>
<twitterNameLabel, twitterUsername>
<geniusNameLabel, geniusNameLabel>
<recordLabelLabel, recordCompany>
