,musicianID,musicianName,genderType,birthDate,city,familyName,forename,fatherName,motherName,spouse,NChildren,kind,webpage,residence,ethnicity,religionLabel,kickoff,twitterUsername,geniusNameLabel,recordCompany
musician,0.99967843,0.41804302,6.828117e-05,0.00037429447,0.002550488,0.00041072315,0.00023728193,0.0019327322,0.0017189868,0.0021697457,0.00037588898,0.0046626264,0.058211163,0.0008757254,0.00058016967,0.0012432373,0.00025334873,0.0006288196,0.0029834767,0.0034247048
musicianLabel,0.17512596,0.8250714,7.2265684e-05,4.0750005e-05,0.22098762,0.4881953,0.80026025,0.6955817,0.51828986,0.561896,0.00039043685,0.056617863,0.00060970447,0.0038483632,0.010271436,0.023855431,4.4393993e-05,0.5464115,0.7306246,0.5165415
genderLabel,0.00023692277,0.00084464793,0.047974695,0.00057661795,0.0033120003,0.008345279,0.04873312,0.0007762463,0.009619171,0.00032051522,0.00017302124,0.001995527,0.00048699934,0.00874695,0.0027428828,0.0414502,0.0005553327,0.000940729,0.001712949,0.0011962743
birthDate,0.00038026454,7.1755756e-05,0.00024439595,0.99980783,5.033793e-05,0.00018812518,0.00018206966,7.492209e-05,6.267985e-05,2.5121e-05,0.00010531048,3.7443147e-05,0.00025596117,5.559267e-05,0.00011840827,3.7882797e-05,0.19006908,0.00023659585,0.0001241154,4.149721e-05
cityLabel,0.0025443786,0.016804984,0.0001720136,0.00010098948,0.9986485,0.8038509,0.3798427,0.028876292,0.014012713,0.009881985,0.0002781378,0.008703225,0.00054814597,0.84333754,0.05465694,0.06407181,5.9644506e-05,0.030045316,0.057687003,0.14588936
familyNameLabel,0.00027616255,0.17337848,0.00012238398,0.00014384084,0.5849782,0.9994136,0.9413657,0.017411092,0.012506078,0.025585894,0.0002902995,0.003924394,0.0013238839,0.0050818655,0.001555025,0.0032576455,8.483774e-05,0.20435224,0.10785493,0.0060753752
givenNameLabel,0.0002071207,0.26608336,0.00016387334,0.00015354945,0.45360237,0.8864459,0.9874058,0.07866463,0.05340439,0.065954685,0.0003118777,0.0038805986,0.00026292817,0.0024540052,0.0013848119,0.009623729,0.00011236216,0.19888982,0.18810266,0.02049812
fatherLabel,0.0003678324,0.34048307,0.00014670013,6.7670604e-05,0.003111263,0.020901175,0.008005689,0.94394433,0.28239673,0.7000233,0.00022502852,0.01799262,0.00097629166,0.014176531,0.021217898,0.13470134,3.5648292e-05,0.056301605,0.35421646,0.05655925
motherLabel,0.00044417864,0.3599781,0.00015370779,6.0118113e-05,0.011558116,0.014481533,0.032497305,0.6370458,0.9977817,0.7183583,0.0002781858,0.0122515205,0.0010328742,0.027301345,0.0059424164,0.117308535,3.074158e-05,0.03496388,0.17301369,0.053469606
partner,0.0017545739,0.7895497,0.00020072688,7.639839e-05,0.167931,0.19227104,0.37858272,0.83692765,0.80398154,0.9958758,0.00024111656,0.045844622,0.007999552,0.16951862,0.046282914,0.03668389,2.9395229e-05,0.3719406,0.7296084,0.4356862
numberOfChildren,0.00036813493,0.00021711306,0.00014678169,9.404715e-05,8.101128e-05,0.00033404847,0.00036025202,0.00020245204,0.00020686438,8.621744e-05,0.9956917,0.00015998125,0.0006366668,0.0002635797,0.0002081343,0.0001523762,0.00034145734,0.010331329,0.00048471586,0.0011584233
