,musicianID,musicianName,genderType,birthDate,city,familyName,forename,fatherName,motherName,spouse,NChildren,kind,webpage
musician,0.99982834,0.40444794,6.737655e-05,0.00013372453,0.0025691215,0.0005043921,0.00019964897,0.0016290044,0.0018552517,0.0022512183,0.0004118654,0.0033564037,0.055497795
birthDate,0.0004520731,7.794488e-05,0.0037137114,0.99536526,2.4325096e-05,0.00028014454,0.00016652835,8.4321335e-05,9.2954535e-05,2.7209011e-05,0.0008764883,4.266536e-05,0.00026301434
familyNameLabel,0.00065602927,0.009366314,0.00027160216,0.00012666048,0.03184246,0.9950025,0.85702914,0.01077868,0.0012825629,0.0134462835,0.00035103806,0.0033573168,0.0007088247
givenNameLabel,0.0004266673,0.16614118,0.00016387334,0.00015430262,0.1080553,0.91662794,0.99536556,0.15149334,0.03145855,0.074402995,0.00016869043,0.014414165,0.00028460074
numberOfChildren,0.00039691583,0.00012739522,0.00013883559,0.00014918283,7.7785866e-05,0.0008492652,0.00054051535,0.00020373007,0.0001900153,9.6000265e-05,0.9745881,0.00026242618,0.0003431083
websiteLabel,0.119069815,0.008843623,0.00017084376,0.0003475062,0.00025793398,0.0012871996,0.00026758164,0.00064554106,0.0011493328,0.00020688711,0.0013259082,0.000494727,0.9968895
residenceLabel,0.0009843492,0.0072799977,0.00036377896,4.9909486e-05,0.77733,0.0043072365,0.0036907014,0.003387061,0.004242515,0.0019253364,0.0011554811,0.023213578,0.0011945205
ethnicityLabel,0.0016141117,0.0033260745,0.00041705323,9.552314e-05,0.11103703,0.0026353556,0.00081611593,0.002780991,0.0035273237,0.00026734767,0.00034520435,0.005892146,0.0043879137
religionLabel,0.0016683468,0.0025216334,0.00020705664,3.9578765e-05,0.018232755,0.0050273007,0.0013872465,0.004164767,0.009901798,0.0019879693,0.00024533266,0.014489942,0.0029714517
activityStart,0.001598949,8.8308654e-05,0.001923756,0.25614485,3.268569e-05,0.00021915384,9.638078e-05,4.6699613e-05,5.1062198e-05,2.9196695e-05,0.00063288223,3.2146334e-05,8.99779e-05
twitterNameLabel,0.00040865914,0.077809535,0.00053667877,0.00022716599,0.019736065,0.2724533,0.23114155,0.079417706,0.045823697,0.025983926,0.00040998455,0.006662733,0.00040399734
geniusNameLabel,0.0019647577,0.14224151,0.00093305006,0.00016657465,0.0037435258,0.15726106,0.17179309,0.05753889,0.015099502,0.18570015,0.00048313357,0.012449203,0.0033876514
recordLabelLabel,0.00091486913,0.051277705,0.000103556915,4.9065624e-05,0.10650553,0.023073388,0.01353419,0.48437923,0.07680207,0.042594306,0.00019338154,0.077536814,0.0024542592
